epoch	loss	mean_squared_error
0	1.7540259950347536	1.754029
1	1.4366428172864836	1.4366425
2	1.3481554098276927	1.3481559
3	1.2837978946708608	1.2837971
4	1.1997231734804032	1.1997224
5	1.127594754408104	1.1275947
6	1.04224618962054	1.0422462
7	0.9926407523195182	0.9926408
8	0.9360139270538154	0.9360142
9	0.867846089587935	0.8678459
10	0.8502963460776178	0.8502954
11	0.8107223983093476	0.81072295
12	0.7664926348805117	0.76649225
13	0.7264487499332366	0.72644913
14	0.69101073393637	0.69101155
15	0.6676659099105745	0.66766703
16	0.6246301858398753	0.6246307
17	0.5861201091801437	0.58612037
18	0.5481985583257241	0.5481988
19	0.5220497010050652	0.5220493
20	0.489874325839337	0.4898743
21	0.4667936916657103	0.46679348
22	0.44192667947538816	0.44192663
23	0.42411708254134284	0.42411694
24	0.389453321932621	0.38945368
25	0.36348097944593366	0.363481
26	0.34469029858553163	0.34469056
27	0.332594133906144	0.33259413
28	0.32049526513631765	0.3204952
29	0.3020409951087398	0.30204132
30	0.2895748889964307	0.28957495
31	0.28434353121401124	0.28434375
32	0.26182659902687494	0.26182646
33	0.2517205000521305	0.25172034
34	0.2323950729633604	0.23239529
35	0.2314476144859024	0.23144759
36	0.22274463122865806	0.22274466
37	0.22314711067107662	0.22314699
38	0.2090367035571641	0.20903668
39	0.21064219846506604	0.21064217
40	0.20312215908857373	0.20312217
41	0.18729031515753983	0.18729028
42	0.1915398007479962	0.19153987
43	0.17354225910482152	0.17354226
44	0.1744100789000125	0.17441
45	0.17452379012674404	0.17452371
46	0.16876736880124857	0.16876724
47	0.16416273964471959	0.16416278
48	0.1599571149239394	0.15995707
49	0.15494125008408446	0.15494122
50	0.1563646886330874	0.15636475
51	0.1487009879698356	0.14870098
52	0.14522859764828658	0.1452286
53	0.14652228792508443	0.14652245
54	0.13725136987971684	0.13725129
55	0.13796687653734505	0.13796674
56	0.13975901292695198	0.13975908
57	0.1441310698791252	0.14413126
58	0.13669643111623977	0.13669656
59	0.12877286137770474	0.12877302
60	0.1247248025451942	0.1247248
61	0.12274274979543406	0.122742616
62	0.1202142203321758	0.1202143
63	0.12260084750654641	0.12260081
64	0.12607049268796497	0.12607059
65	0.11788601902604569	0.11788616
66	0.1104471180830539	0.11044707
67	0.11350172836886487	0.11350174
68	0.11255847836340156	0.11255836
69	0.10740723969696167	0.10740714
