epoch	loss	mean_squared_error
0	2.048629294821491	2.048629
1	1.850060215633686	1.8500609
2	1.8326464683287829	1.8326473
3	1.7714152997997563	1.7714151
4	1.6824016969745998	1.6824007
5	1.4987147934834117	1.4987165
6	1.4040202510111746	1.4040192
7	1.3625242475160013	1.3625244
8	1.2756545889376225	1.2756552
9	1.2362834435517844	1.2362838
10	1.206904657656902	1.2069052
11	1.1115369290325736	1.1115369
12	1.0837022498797844	1.0837017
13	1.0530268504051492	1.0530275
14	0.966093229974264	0.9660936
15	0.9382667005993426	0.9382664
16	0.885955708016477	0.88595647
17	0.8368730090435266	0.83687305
18	0.8174218194929006	0.8174222
19	0.7920228697291082	0.79202324
20	0.7770520496257471	0.7770523
21	0.7405287525328972	0.7405287
22	0.7038565477787736	0.70385665
23	0.6790899607106385	0.6790901
24	0.6277701560414725	0.62777025
25	0.604016394394806	0.60401624
26	0.5944121588500874	0.5944124
27	0.5685225519077742	0.56852245
28	0.532468389852575	0.532468
29	0.5213605932891369	0.52136046
30	0.48075296533814466	0.48075286
31	0.4741915855412919	0.47419146
32	0.45429212475633796	0.4542921
33	0.43205224229707656	0.43205184
34	0.41061086703009686	0.41061068
35	0.4112757630591445	0.4112759
36	0.3750829132386785	0.37508297
37	0.3650284331695944	0.3650283
38	0.3642849991673275	0.36428523
39	0.33372595182976084	0.33372584
40	0.3258663726758267	0.32586625
41	0.3105789442656233	0.3105789
42	0.29489909798824504	0.29489914
43	0.3197609934106688	0.31976095
44	0.286732509524582	0.28673276
45	0.2797718852155787	0.27977183
46	0.27469725339221496	0.27469715
47	0.2609873443516656	0.26098743
48	0.24232007279608617	0.2423202
49	0.2475070349379059	0.24750717
50	0.23745409779640955	0.23745422
51	0.2316753301762647	0.23167513
52	0.22160965047899964	0.22160968
53	0.21620279474950888	0.2162027
54	0.20901120591032155	0.20901129
55	0.20629355138311545	0.20629352
56	0.21551477574599523	0.21551478
57	0.19783250689198373	0.19783255
58	0.20135921518188243	0.20135921
59	0.1937115121191121	0.19371139
60	0.19227753668811226	0.19227748
61	0.18176813790102161	0.1817681
62	0.17257242130992168	0.17257243
63	0.1737455243638525	0.17374554
64	0.20066044016515233	0.2006606
65	0.18999859161044963	0.18999845
66	0.16137486080714392	0.16137476
67	0.16080435321577277	0.16080448
68	0.1655890436969725	0.16558906
69	0.1622575115506633	0.1622575
